ts,tick_seq,hour,luminance_mean_1,T1_outflow,T2_outflow,total_outflow,T1_inflow,T2_inflow,total_inflow
2026-05-12T18:03:17+0900,138,18,120.69,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-12T18:35:10+0900,144,18,115.99,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-13T04:22:55+0900,259,4,41.45,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-13T04:28:01+0900,260,4,81.6,15.0,14.0,29.0,0.0,0.0,0.0
2026-05-13T04:33:07+0900,261,4,126.45,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-13T05:59:57+0900,278,5,124.12,0.0,5.0,5.0,0.0,0.0,0.0
2026-05-13T06:45:52+0900,287,6,119.2,1.0,5.0,6.0,0.0,0.0,0.0
2026-05-13T06:50:58+0900,288,6,118.28,1.0,0.0,1.0,1.0,0.0,1.0
2026-05-13T07:06:16+0900,291,7,118.6,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-13T07:26:41+0900,295,7,116.57,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-13T08:12:36+0900,304,8,123.91,0.0,9.0,9.0,1.0,0.0,1.0
2026-05-13T08:22:48+0900,306,8,115.4,1.0,0.0,1.0,2.0,8.0,10.0
2026-05-13T08:27:54+0900,307,8,118.06,2.0,8.0,10.0,0.0,0.0,0.0
2026-05-13T08:33:00+0900,308,8,125.87,1.0,0.0,1.0,2.0,0.0,2.0
2026-05-13T08:38:06+0900,309,8,126.96,2.0,0.0,2.0,0.0,0.0,0.0
2026-05-13T08:43:12+0900,310,8,128.87,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-13T09:03:38+0900,314,9,136.28,5.0,0.0,5.0,0.0,0.0,0.0
2026-05-13T09:24:01+0900,318,9,122.66,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-13T09:49:31+0900,323,9,110.89,2.0,0.0,2.0,0.0,0.0,0.0
2026-05-13T09:59:42+0900,325,9,248.4,5.0,0.0,5.0,0.0,0.0,0.0
2026-05-13T10:20:07+0900,329,10,119.24,2.0,0.0,2.0,0.0,0.0,0.0
2026-05-13T10:30:19+0900,331,10,115.06,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-13T10:40:30+0900,333,10,115.84,0.0,1.0,1.0,2.0,0.0,2.0
2026-05-13T10:45:36+0900,334,10,117.62,2.0,0.0,2.0,2.0,0.0,2.0
2026-05-13T10:50:42+0900,335,10,116.75,1.0,0.0,1.0,0.0,1.0,1.0
2026-05-13T11:00:58+0900,337,11,122.79,2.0,0.0,2.0,0.0,0.0,0.0
2026-05-13T11:11:10+0900,339,11,109.65,1.0,0.0,1.0,0.0,1.0,1.0
2026-05-13T11:16:17+0900,340,11,110.21,0.0,4.0,4.0,2.0,0.0,2.0
2026-05-13T11:21:23+0900,341,11,115.01,1.0,0.0,1.0,0.0,4.0,4.0
